[MindSPONGE] Step: 650, E_pot: -5643.551, E_kin: 10337.859, E_tot: 4694.3086, Temperature: 327.88995, Time: 57.45ms
[MindSPONGE] Step: 660, E_pot: -5668.824, E_kin: 10365.211, E_tot: 4696.3867, Temperature: 328.75748, Time: 58.38ms
[MindSPONGE] Step: 670, E_pot: -5374.3125, E_kin: 10123.365, E_tot: 4749.0527, Temperature: 321.08676, Time: 59.49ms
[MindSPONGE] Step: 680, E_pot: -5459.869, E_kin: 10187.965, E_tot: 4728.0957, Temperature: 323.1357, Time: 58.72ms
[MindSPONGE] Step: 690, E_pot: -5395.7266, E_kin: 10037.018, E_tot: 4641.291, Temperature: 318.34805, Time: 61.16ms
[MindSPONGE] Step: 700, E_pot: -5515.0723, E_kin: 10129.686, E_tot: 4614.6133, Temperature: 321.28723, Time: 61.39ms
[MindSPONGE] Step: 710, E_pot: -5568.1836, E_kin: 10215.076, E_tot: 4646.8926, Temperature: 323.99557, Time: 64.58ms
[MindSPONGE] Step: 720, E_pot: -5515.674, E_kin: 10074.941, E_tot: 4559.2676, Temperature: 319.55087, Time: 65.01ms
[MindSPONGE] Step: 730, E_pot: -5694.0, E_kin: 10256.088, E_tot: 4562.088, Temperature: 325.2964, Time: 64.69ms
[MindSPONGE] Step: 740, E_pot: -5578.4355, E_kin: 10080.6045, E_tot: 4502.169, Temperature: 319.7305, Time: 62.26ms
[MindSPONGE] Step: 750, E_pot: -5730.824, E_kin: 10268.103, E_tot: 4537.2783, Temperature: 325.67746, Time: 63.28ms
[MindSPONGE] Step: 760, E_pot: -5537.0312, E_kin: 10085.912, E_tot: 4548.881, Temperature: 319.89883, Time: 65.32ms
[MindSPONGE] Step: 770, E_pot: -5834.3887, E_kin: 10254.541, E_tot: 4420.1523, Temperature: 325.2473, Time: 68.47ms
[MindSPONGE] Step: 780, E_pot: -5679.0527, E_kin: 10115.873, E_tot: 4436.8203, Temperature: 320.84915, Time: 67.21ms
[MindSPONGE] Step: 790, E_pot: -5770.1094, E_kin: 10131.27, E_tot: 4361.16, Temperature: 321.3375, Time: 67.92ms
[MindSPONGE] Step: 800, E_pot: -5728.2324, E_kin: 10025.953, E_tot: 4297.7207, Temperature: 317.9971, Time: 70.10ms
[MindSPONGE] Step: 810, E_pot: -5818.385, E_kin: 10060.376, E_tot: 4241.991, Temperature: 319.08893, Time: 72.50ms
[MindSPONGE] Step: 820, E_pot: -5738.8613, E_kin: 9922.295, E_tot: 4183.4336, Temperature: 314.70932, Time: 71.38ms
[MindSPONGE] Step: 830, E_pot: -5934.6816, E_kin: 10136.881, E_tot: 4202.199, Temperature: 321.51544, Time: 72.30ms
[MindSPONGE] Step: 840, E_pot: -5805.246, E_kin: 10079.482, E_tot: 4274.2363, Temperature: 319.69492, Time: 74.42ms
